Seq.No,School_Name,School Address,Full Address,Province,province_weblink,District,Zone,Education Division,School Level,Type,Year Span,Gender,Medium,latitude,longitude
1,COLOMBO ANANDA COLLEGE,COLOMBO 10,"COLOMBO ANANDA COLLEGE, COLOMBO 10, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.93395,79.8498715
2,COLOMBO NALANDA COLLEGE,"SIRI DAMMA MW, COLOMBO 10","COLOMBO NALANDA COLLEGE, SIRI DAMMA MW, COLOMBO 10, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.93395,79.8498715
3,COLOMBO THURSTAN COLLEGE,COLOMBO 07,"COLOMBO THURSTAN COLLEGE, COLOMBO 07, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.903731,79.859897
4,COLOMBO ROYAL COLLEGE,"RAJAKEEYA MW, COLOMBO 07","COLOMBO ROYAL COLLEGE, RAJAKEEYA MW, COLOMBO 07, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,4.Grd 1-13,1.Boys,Sinhala/Tamil/English,6.904795,79.861465
5,COLOMBO D.S.SENANAYAKE COLLEGE,"R.G.SENANAYAKE MW, COLOMBO 07","COLOMBO D.S.SENANAYAKE COLLEGE, R.G.SENANAYAKE MW, COLOMBO 07, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,4.Grd 1-13,1.Boys,Sinhala/Tamil/English,6.909151,79.875831
6,COLOMBO ANANDA B.V.,"REV. HIKKADUWA SRI SUMANGALA NAHIMI MW, COLOMBO 10","COLOMBO ANANDA B.V., REV. HIKKADUWA SRI SUMANGALA NAHIMI MW, COLOMBO 10, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,6.Grd 6-13,2.Girls,Sinhala/English,6.93395,79.8498715
7,COLOMBO GOTHAMI B.V.,"TEMPLE ROAD, COLOMBO 10","COLOMBO GOTHAMI B.V., TEMPLE ROAD, COLOMBO 10, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,6.Grd 6-13,2.Girls,Sinhala/English,6.93395,79.8498715
8,HAMEED AL-HUSSEINIE COLLEGE,"45, HUSSEINIA ROAD, COLOMBO-12","HAMEED AL-HUSSEINIE COLLEGE, 45, HUSSEINIA ROAD, COLOMBO-12, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo Central,National,1AB,4.Grd 1-13,1.Boys,Sinhala/Tamil,6.941225,79.860069
9,VIVEKANANDA NATIONAL SCHOOL,"57, NEW CHETTY STREET, COLOMBO-13","VIVEKANANDA NATIONAL SCHOOL, 57, NEW CHETTY STREET, COLOMBO-13, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo Central,National,1AB,4.Grd 1-13,3.Mixed,Tamil/English,6.944814393,79.85973049
10,KOTAHENA M.M.V.,"MAHA VIDYALA MW, COLOMBO 13","KOTAHENA M.M.V., MAHA VIDYALA MW, COLOMBO 13, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo Central,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.9459,79.8617
11,COLOMBO MAHANAMA COLLEGE,"R A DE MEL MAWATHA, COLOMBO 03","COLOMBO MAHANAMA COLLEGE, R A DE MEL MAWATHA, COLOMBO 03, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.905642,79.853814
12,COLOMBO ISIPATHANA COLLEGE,"ISIPATHANA MW, COLOMBO-05","COLOMBO ISIPATHANA COLLEGE, ISIPATHANA MW, COLOMBO-05, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,1.Boys,Sinhala/Tamil/English,6.93395,79.8498715
13,BAMBALAPITIYA HINDU COLLEGE,"77, LORENZ ROAD, COLOMBO 04","BAMBALAPITIYA HINDU COLLEGE, 77, LORENZ ROAD, COLOMBO 04, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,1.Boys,Tamil/English,6.9039648,79.8539001
14,COLOMBO SIRIMAVO BANDARANAYAKE V.,"STANMORE CRESCENT, COLOMBO 07","COLOMBO SIRIMAVO BANDARANAYAKE V., STANMORE CRESCENT, COLOMBO 07, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.93395,79.8498715
15,MILAGIRIYA ST. PAUL'S GIRL'S SCHOOL,"MILAGIRIYA, COLOMBO 05","MILAGIRIYA ST. PAUL'S GIRL'S SCHOOL, MILAGIRIYA, COLOMBO 05, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.8909516,79.8569263
16,COLOMBO VISAKHA V.,"133, VAJIRA RD, COLOMBO 05","COLOMBO VISAKHA V., 133, VAJIRA RD, COLOMBO 05, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.93395,79.8498715
17,BAMBALAPITIYA MUSLIM LADIES COLLEGE,"22, BAMBALAPITIYA, COLOMBO-04","BAMBALAPITIYA MUSLIM LADIES COLLEGE, 22, BAMBALAPITIYA, COLOMBO-04, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,2.Girls,Sinhala/Tamil/English,6.9039648,79.8539001
18,BAMBALAPITIYA RAMANATHAN HINDU LADIES COLLEGE,"55/5, LORENCE RD, COLOMBO-04","BAMBALAPITIYA RAMANATHAN HINDU LADIES COLLEGE, 55/5, LORENCE RD, COLOMBO-04, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,2.Girls,Tamil/English,6.883939,79.860534
19,COLOMBO LUMBINI V.,"HAVELOCK TOWN, COLOMBO 05","COLOMBO LUMBINI V., HAVELOCK TOWN, COLOMBO 05, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.8862151,79.863066
20,DEFENCE SERVICES COLLEGE,"34, MALAY ST, COLOMBO-02","DEFENCE SERVICES COLLEGE, 34, MALAY ST, COLOMBO-02, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.926497,79.850393
21,COLOMBO DEVI B.V.,COLOMBO-08,"COLOMBO DEVI B.V., COLOMBO-08, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,6.Grd 6-13,2.Girls,Sinhala/English,6.93395,79.8498715
22,AVISSAWELLA SEETHAWAKA M.M.V.,AVISSAWELLA,"AVISSAWELLA SEETHAWAKA M.M.V., AVISSAWELLA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Homagama,Hanwella,National,1AB,4.Grd 1-13,3.Mixed,Sinhala,6.95368,80.21031
23,HANWELLA RAJASINGHE CENTRAL COLLEGE,"SCHOOL LANE, HANWELLA","HANWELLA RAJASINGHE CENTRAL COLLEGE, SCHOOL LANE, HANWELLA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Homagama,Hanwella,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.3532113,80.8757396
24,HOMAGAMA MAHINDA RAJAPAKSHA COLLEGE,"PITIPANA, HOMAGAMA","HOMAGAMA MAHINDA RAJAPAKSHA COLLEGE, PITIPANA, HOMAGAMA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Homagama,Homagama,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.8402,80.0207
25,SUNEETHA VIDYALAYA,"WATAREKA , PADUKKA","SUNEETHA VIDYALAYA, WATAREKA , PADUKKA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Homagama,Homagama,National,Type 2,5.Grd 6-11,1.Boys,Sinhala,6.8551079,80.0700347
26,DEHIWALA PRESBYTERIAN B.V,DEHIWALA,"DEHIWALA PRESBYTERIAN B.V, DEHIWALA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Piliyandala,Dehiwala,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.85706,79.86859
27,PILIYANDALA M.M.V.,PILIYANDALA,"PILIYANDALA M.M.V., PILIYANDALA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Piliyandala,Kesbewa,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.7999,79.9249
28,MORATUWA PRINCE OF WALES COLLEGE,MORATUWA,"MORATUWA PRINCE OF WALES COLLEGE, MORATUWA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Piliyandala,Moratuwa,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.7745227,79.882978
29,MORATUWA PRINCESS OF WALES' COLLEGE,"RAWATHAWATHA, MORATUWA","MORATUWA PRINCESS OF WALES' COLLEGE, RAWATHAWATHA, MORATUWA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Piliyandala,Moratuwa,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.7916284,79.8888141
30,BATTARAMULLA SUBHUTHI NATIONAL SCHOOL,BATTARAMULLA,"BATTARAMULLA SUBHUTHI NATIONAL SCHOOL, BATTARAMULLA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Sri Jayawardenapura,Kaduwela,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.8964,79.9181
31,BOMIRIYA CENTRAL COLLEGE,KADUWELA,"BOMIRIYA CENTRAL COLLEGE, KADUWELA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Sri Jayawardenapura,Kaduwela,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.3950672,80.6609378
32,KOLONNAWA BALIKA VIDYALAYA,"SUGUNASARA ROAD, KOLONNAWA","KOLONNAWA BALIKA VIDYALAYA, SUGUNASARA ROAD, KOLONNAWA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Sri Jayawardenapura,Kolonnawa,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.9333812,79.8918629
33,KUDA BUTHGAMUWA SRI RAJASINGHE CENTRAL COLLEGE,"KUDA BUTHGAMUWA, MULLERIYAWA NEW TOWN","KUDA BUTHGAMUWA SRI RAJASINGHE CENTRAL COLLEGE, KUDA BUTHGAMUWA, MULLERIYAWA NEW TOWN, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Sri Jayawardenapura,Kolonnawa,National,1AB,6.Grd 6-13,3.Mixed,Sinhala,6.937115841,79.91652438
34,PANNIPITIYA DHARMAPALA VIDYALAYA,PANNIPITIYA,"PANNIPITIYA DHARMAPALA VIDYALAYA, PANNIPITIYA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Sri Jayawardenapura,Maharagama,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.8462,79.9448
35,KOTTE ANANDA SHASTHRALAYA,KOTTE,"KOTTE ANANDA SHASTHRALAYA, KOTTE, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Sri Jayawardenapura,Nugegoda,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.883302325,79.90399053
36,RAJAGIRIYA PRESIDENT'S COLLEGE,RAJAGIRIYA,"RAJAGIRIYA PRESIDENT'S COLLEGE, RAJAGIRIYA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Sri Jayawardenapura,Nugegoda,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,7.2470098,80.5779558
37,NUGEGODA ANULA VIDYALAYA,NUGEGODA,"NUGEGODA ANULA VIDYALAYA, NUGEGODA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Sri Jayawardenapura,Nugegoda,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.874757,79.8935775
38,VEYANGODA BANDARANAYAKE CENTRAL COLLEGE,VEYANGODA,"VEYANGODA BANDARANAYAKE CENTRAL COLLEGE, VEYANGODA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Gampaha,Attanagalla,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.3559022,80.5608471
39,NITTAMBUWA SANGABODHI M.M.V.,NITTAMBUWA,"NITTAMBUWA SANGABODHI M.M.V., NITTAMBUWA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Gampaha,Attanagalla,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.1426,80.0938
40,SIYANE NATIONAL SCHOOL,"PALUGAMA, DOMPE","SIYANE NATIONAL SCHOOL, PALUGAMA, DOMPE, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Gampaha,Dompe (Weke),National,1AB,6.Grd 6-13,3.Mixed,Sinhala,6.9373882,80.0721826
41,GAMPAHA BANDARANAYAKE M.V.,"YAKKALA ROAD, GAMPAHA","GAMPAHA BANDARANAYAKE M.V., YAKKALA ROAD, GAMPAHA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Gampaha,Gampaha,National,1AB,6.Grd 6-13,1.Boys,Sinhala/English,7.093209915,80.01787083
42,GAMPAHA RATHNAWALEE BALIKA V.,"COLOMBO ROAD, GAMPAHA","GAMPAHA RATHNAWALEE BALIKA V., COLOMBO ROAD, GAMPAHA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Gampaha,Gampaha,National,1AB,6.Grd 6-13,2.Girls,Sinhala/English,7.0933385,79.9936897
43,GALAHITIYAWA CENTRAL COLLEGE,"GALAHITIYAWA, GANEMULLA","GALAHITIYAWA CENTRAL COLLEGE, GALAHITIYAWA, GANEMULLA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Gampaha,Gampaha,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.26667,80.86667
44,AL-MUBARAK NATIONAL SCHOOL,MALWANA,"AL-MUBARAK NATIONAL SCHOOL, MALWANA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Kelaniya,Biyagama,National,1AB,6.Grd 6-13,3.Mixed,Tamil/English,7.6038572,80.2246808
45,KIRIBATHGODA VIHARAMAHADEVI B.V.,KIRIBATHGODA,"KIRIBATHGODA VIHARAMAHADEVI B.V., KIRIBATHGODA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Kelaniya,Kelaniya,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.9831967,79.9266357
46,KELANIYA GURUKULA  V.,KELANIYA,"KELANIYA GURUKULA  V., KELANIYA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Kelaniya,Kelaniya,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.9533607,79.9192447
47,KELANIYA SRI DHARMALOKA M.M.V,"WARAGODA RD, KELANIYA","KELANIYA SRI DHARMALOKA M.M.V, WARAGODA RD, KELANIYA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Kelaniya,Kelaniya,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.954449557,79.91850767
48,HENEGAMA CENTRAL COLLEGE,HENEGAMA,"HENEGAMA CENTRAL COLLEGE, HENEGAMA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Kelaniya,Mahara,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.381469,80.5444971
49,WATTALA ST. ANTHONY'S M.V.,"VINSTANT JHOSEP MW, OLD NEGOMBO RD,WATTALA","WATTALA ST. ANTHONY'S M.V., VINSTANT JHOSEP MW, OLD NEGOMBO RD,WATTALA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Kelaniya,Wattala,National,1AB,4.Grd 1-13,1.Boys,Sinhala/Tamil/English,6.9909222,79.8931422
50,MIRIGAMA D.S.SENANAYAKA NATIONAL SCHOOL,MIRIGAMA,"MIRIGAMA D.S.SENANAYAKA NATIONAL SCHOOL, MIRIGAMA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Minuwangoda,Meerigama,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.2432362,80.1274878
51,MINUWANGODA NALANDA BOYS M.M.V,MINUWANGODA,"MINUWANGODA NALANDA BOYS M.M.V, MINUWANGODA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Minuwangoda,Minuwangoda,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,7.17836,79.95982
52,UDUGAMPOLA SENERATH PARANAVITHANA M.V.,UDUGAMPOLA,"UDUGAMPOLA SENERATH PARANAVITHANA M.V., UDUGAMPOLA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Minuwangoda,Minuwangoda,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.11667,79.98333
53,JA-ELA CHRIST KING COLLEGE,"THUDELLA, JA-ELA","JA-ELA CHRIST KING COLLEGE, THUDELLA, JA-ELA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Negombo,Ja-Ela,National,1AB,4.Grd 1-13,1.Boys,Sinhala,7.090038903,79.89112365
54,KOTUGODA SRI PANGNANANDA NATIONAL COLLEGE,"RADDOLUWA, KOTUGODA","KOTUGODA SRI PANGNANANDA NATIONAL COLLEGE, RADDOLUWA, KOTUGODA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Negombo,Katana,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.1186701,79.9187955
55,NEGOMBO NEWSTEAD GIRLS COLLEGE,NEGOMBO,"NEGOMBO NEWSTEAD GIRLS COLLEGE, NEGOMBO, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Negombo,Negombo,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,7.2113917,79.8414753
56,NEGOMBO HARISHCHANDRA NATIONAL SCHOOL,"TEMPLE RD, NEGOMBO","NEGOMBO HARISHCHANDRA NATIONAL SCHOOL, TEMPLE RD, NEGOMBO, Sri Lanka",Western,http://www.wpedu.sch.lk/,Gampaha,Negombo,Negombo,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,7.2113917,79.8414753
57,BANDARAGAMA M.M.V.,BANDARAGAMA,"BANDARAGAMA M.M.V., BANDARAGAMA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Horana,Bandaragama,National,1AB,4.Grd 1-13,3.Mixed,Sinhala,6.7130133,79.9897681
58,BULATHSINHALA M.M.V,BULATHSINHALA,"BULATHSINHALA M.M.V, BULATHSINHALA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Horana,Bulathsinhala,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.6449668,80.179676
59,HORANA SRIPALEE M.V.,"WEWALA, HORANA","HORANA SRIPALEE M.V., WEWALA, HORANA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Horana,Horana,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.7046241,80.0653114
60,HORANA RAJAKEEYA M.V.,HORANA,"HORANA RAJAKEEYA M.V., HORANA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Horana,Horana,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.7181874,80.0682766
61,HORANA TAXILA M.M.V,"AGURUWATHOTA ROAD, HORANA","HORANA TAXILA M.M.V, AGURUWATHOTA ROAD, HORANA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Horana,Horana,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.7181874,80.0682766
62,BERUWALA AL HUMAISARA CENTRAL COLLEGE,CHINA FORT BERUWALA,"BERUWALA AL HUMAISARA CENTRAL COLLEGE, CHINA FORT BERUWALA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Kalutara,Beruwala,National,1AB,4.Grd 1-13,1.Boys,Tamil,6.4665,79.9855
63,ALUTHGAM WEEDIYA MUSLIM BALIKA M.V.,DHARGA TOWN,"ALUTHGAM WEEDIYA MUSLIM BALIKA M.V., DHARGA TOWN, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Kalutara,Beruwala,National,1AB,4.Grd 1-13,2.Girls,Tamil/English,6.4431181,80.0037696
64,ALUTHGAMA NATIONAL SCHOOL,ALUTHGAMA,"ALUTHGAMA NATIONAL SCHOOL, ALUTHGAMA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Kalutara,Beruwala,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.43257,79.99919
65,D S SENANAYAKA NATIONAL SCHOOL,BERUWALA,"D S SENANAYAKA NATIONAL SCHOOL, BERUWALA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Kalutara,Beruwala,National,1AB,6.Grd 6-13,3.Mixed,Sinhala,6.4768802,79.9831888
66,DODANGODA MIRISWATTA NATIONAL SCHOOL,DODANGODA,"DODANGODA MIRISWATTA NATIONAL SCHOOL, DODANGODA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Kalutara,Dodangoda,National,1AB,4.Grd 1-13,3.Mixed,Sinhala,6.5336246,80.0352025
67,KALUTARA M.V.,KALUTARA SOUTH,"KALUTARA M.V., KALUTARA SOUTH, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Kalutara,Kalutara,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.5831,79.9593
68,KALUTARA BALIKA M.V.,"OLD ROAD, KALUTARA SOUTH","KALUTARA BALIKA M.V., OLD ROAD, KALUTARA SOUTH, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Kalutara,Kalutara,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.5831,79.9593
69,KALUTARA TISSA M.M.V.,"NAGAS JUNCTION, KALUTARA NORTH","KALUTARA TISSA M.M.V., NAGAS JUNCTION, KALUTARA NORTH, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Kalutara,Kalutara,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.5923558,79.9544808
70,PANADURA SRI SUMANGALA COLLEGE,"HORANA ROAD, PANADURA","PANADURA SRI SUMANGALA COLLEGE, HORANA ROAD, PANADURA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Kalutara,Panadura,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.708168,79.915829
71,PANADURA SRI SUMANGALA BALIKA M.V.,"NALLURUWA, PANADURA","PANADURA SRI SUMANGALA BALIKA M.V., NALLURUWA, PANADURA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Kalutara,Panadura,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.6969104,79.9162042
72,PANADURA ST. JOHN'S M.V.,"UDAHAMULLA, PANADURA","PANADURA ST. JOHN'S M.V., UDAHAMULLA, PANADURA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Kalutara,Panadura,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.721737,79.913125
73,MATUGAMA ANANDA SASTRALAYA,MATUGAMA,"MATUGAMA ANANDA SASTRALAYA, MATUGAMA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Matugama,Matugama,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.523414943,80.11700292
74,MATUGAMA C.W.W. KANNANGARA M.M.V.,MATUGAMA,"MATUGAMA C.W.W. KANNANGARA M.M.V., MATUGAMA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Kalutara,Matugama,Matugama,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/Tamil/English,6.5222511,80.114793
75,D.B.WIJETHUNGA N.S,MURUTHAGAHAMULA,"D.B.WIJETHUNGA N.S, MURUTHAGAHAMULA, Sri Lanka",Central,https://cpedu.lk/,Kandy,Denuwara,Udunuwara,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.2047812,80.5869314
76,AL-MANAR CENTRAL COLLEGE(N.S.),HANDESSA,"AL-MANAR CENTRAL COLLEGE(N.S.), HANDESSA, Sri Lanka",Central,https://cpedu.lk/,Kandy,Denuwara,Udunuwara,National,1AB,6.Grd 6-13,3.Mixed,Tamil/English,7.2303424,80.5831261
77,KADUGANNAWA N.S,KADUGANNAWA,"KADUGANNAWA N.S, KADUGANNAWA, Sri Lanka",Central,https://cpedu.lk/,Kandy,Denuwara,Yatinuwara,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.257511,80.5209663
78,SRI SWARNAJOTHI NATINAL SCHOOL,KIRIBATHIKUBURA,"SRI SWARNAJOTHI NATINAL SCHOOL, KIRIBATHIKUBURA, Sri Lanka",Central,https://cpedu.lk/,Kandy,Denuwara,Yatinuwara,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.273412,80.5816171
79,SENADHIKARI NATIONAL SCHOOL,UDAHENTHENNA,"SENADHIKARI NATIONAL SCHOOL, UDAHENTHENNA, Sri Lanka",Central,https://cpedu.lk/,Kandy,Gampola,Ganga Ihala Korale,National,1C,4.Grd 1-13,3.Mixed,Sinhala,7.0905368,80.5182894
80,ANURUDDA KUMARA MMV,NAWALAPITIYA,"ANURUDDA KUMARA MMV, NAWALAPITIYA, Sri Lanka",Central,https://cpedu.lk/,Kandy,Gampola,Pasbage Korale,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,7.0561295,80.5348324
81,GAMPOLA ZAHIRA NATIONAL SCHOOL,GAMPOLA,"GAMPOLA ZAHIRA NATIONAL SCHOOL, GAMPOLA, Sri Lanka",Central,https://cpedu.lk/,Kandy,Gampola,Udapalatha,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/Tamil/English,7.1717602,80.5741214
82,GAMPOLA WICKRAMABAHU MADYA VIDYALAYA,GAMPOLA,"GAMPOLA WICKRAMABAHU MADYA VIDYALAYA, GAMPOLA, Sri Lanka",Central,https://cpedu.lk/,Kandy,Gampola,Udapalatha,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.1625392,80.5668591
83,ATABAGE WIMALADHARMA N.S.,"ATABAGE, GAMPOLA","ATABAGE WIMALADHARMA N.S., ATABAGE, GAMPOLA, Sri Lanka",Central,https://cpedu.lk/,Kandy,Gampola,Udapalatha,National,1C,4.Grd 1-13,3.Mixed,Sinhala/English,7.1625392,80.5668591
84,HINDU N.S.,"NUWARA ELIYA ROAD, PUSSELLAWA","HINDU N.S., NUWARA ELIYA ROAD, PUSSELLAWA, Sri Lanka",Central,https://cpedu.lk/,Kandy,Gampola,Udapalatha,National,1C,6.Grd 6-13,3.Mixed,Tamil/English,7.0087,80.8894
85,KANDY DHARMARAJA COLLEGE,KANDY,"KANDY DHARMARAJA COLLEGE, KANDY, Sri Lanka",Central,https://cpedu.lk/,Kandy,Kandy,Gangawata Korale,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,7.2909991,80.6468827
86,KANDY KINGSWOOD COLLEGE,KANDY,"KANDY KINGSWOOD COLLEGE, KANDY, Sri Lanka",Central,https://cpedu.lk/,Kandy,Kandy,Gangawata Korale,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,7.2775777,80.6155746
